Time_s,Event,Priority,Size_bytes
5.98835,Tx_WiFi,2,90
5.99965,Rx_802.15.4,N/A,90
5.99965,Tx_WiFi,2,90
6.00403,Rx_802.15.4,N/A,90
6.00403,Tx_WiFi,2,90
6.00838,Rx_802.15.4,N/A,49
6.00838,Tx_WiFi,2,49
6.01373,Rx_802.15.4,N/A,90
6.01373,Tx_WiFi,2,90
6.01875,Rx_802.15.4,N/A,90
6.01875,Tx_WiFi,2,90
6.03037,Rx_802.15.4,N/A,90
6.03037,Tx_WiFi,3,90
6.03699,Rx_802.15.4,N/A,90
6.03699,Tx_WiFi,3,90
6.04541,Rx_802.15.4,N/A,90
6.04541,Tx_WiFi,1,90
6.42355,Rx_802.15.4,N/A,10
6.47485,Rx_802.15.4,N/A,90
6.47485,Tx_WiFi,2,90
6.48083,Rx_802.15.4,N/A,90
6.48083,Tx_WiFi,2,90
6.49085,Rx_802.15.4,N/A,90
6.49085,Tx_WiFi,2,90
6.49456,Rx_802.15.4,N/A,39
6.49456,Tx_WiFi,2,39
6.50397,Rx_802.15.4,N/A,90
6.50397,Tx_WiFi,2,90
6.50963,Rx_802.15.4,N/A,90
6.50963,Tx_WiFi,2,90
6.51933,Rx_802.15.4,N/A,90
6.51933,Tx_WiFi,1,90
6.93979,Rx_802.15.4,N/A,10
6.96893,Rx_802.15.4,N/A,90
6.96893,Tx_WiFi,2,90
6.97363,Rx_802.15.4,N/A,90
6.97363,Tx_WiFi,2,90
6.98205,Rx_802.15.4,N/A,90
6.98205,Tx_WiFi,2,90
6.98803,Rx_802.15.4,N/A,90
6.98803,Tx_WiFi,2,90
6.9937,Rx_802.15.4,N/A,90
6.9937,Tx_WiFi,2,90
7.01501,Rx_802.15.4,N/A,90
7.01501,Tx_WiFi,2,90
7.01939,Rx_802.15.4,N/A,90
7.01939,Tx_WiFi,2,90
7.45853,Rx_802.15.4,N/A,90
7.45853,Tx_WiFi,0,90
7.46515,Rx_802.15.4,N/A,90
7.46515,Tx_WiFi,0,90
7.47485,Rx_802.15.4,N/A,90
7.47485,Tx_WiFi,2,90
7.47987,Rx_802.15.4,N/A,90
7.47987,Tx_WiFi,2,90
7.48554,Rx_802.15.4,N/A,90
7.48554,Tx_WiFi,2,90
7.49053,Rx_802.15.4,N/A,90
7.49053,Tx_WiFi,2,90
7.49555,Rx_802.15.4,N/A,90
7.49555,Tx_WiFi,2,90
7.50397,Rx_802.15.4,N/A,90
7.50397,Tx_WiFi,2,90
7.51059,Rx_802.15.4,N/A,90
7.51059,Tx_WiFi,2,90
7.52029,Rx_802.15.4,N/A,90
7.52029,Tx_WiFi,1,90
7.94845,Rx_802.15.4,N/A,90
7.94845,Tx_WiFi,2,90
7.95507,Rx_802.15.4,N/A,90
7.95507,Tx_WiFi,2,90
7.96445,Rx_802.15.4,N/A,90
7.96445,Tx_WiFi,2,90
7.96979,Rx_802.15.4,N/A,90
7.96979,Tx_WiFi,2,90
7.97347,Rx_802.15.4,N/A,48
7.97347,Tx_WiFi,2,48
7.97981,Rx_802.15.4,N/A,90
7.97981,Tx_WiFi,0,90
7.98349,Rx_802.15.4,N/A,38
7.98349,Tx_WiFi,0,38
7.99485,Rx_802.15.4,N/A,90
7.99485,Tx_WiFi,2,90
7.99978,Rx_802.15.4,N/A,37
7.99978,Tx_WiFi,2,37
8.40487,Rx_802.15.4,N/A,10
8.40665,Rx_802.15.4,N/A,10
8.41653,Rx_802.15.4,N/A,10
8.44029,Rx_802.15.4,N/A,90
8.44029,Tx_WiFi,2,90
8.44627,Rx_802.15.4,N/A,90
8.44627,Tx_WiFi,2,90
8.45501,Rx_802.15.4,N/A,90
8.45501,Tx_WiFi,1,90
8.93373,Rx_802.15.4,N/A,90
8.93373,Tx_WiFi,0,90
8.93971,Rx_802.15.4,N/A,90
8.93971,Tx_WiFi,0,90
8.94845,Rx_802.15.4,N/A,90
8.94845,Tx_WiFi,2,90
8.95347,Rx_802.15.4,N/A,90
8.95347,Tx_WiFi,2,90
8.95818,Rx_802.15.4,N/A,90
8.95818,Tx_WiFi,2,90
8.97821,Rx_802.15.4,N/A,90
8.97821,Tx_WiFi,2,90
8.98483,Rx_802.15.4,N/A,90
8.98483,Tx_WiFi,2,90
8.99389,Rx_802.15.4,N/A,90
8.99389,Tx_WiFi,2,90
9.00051,Rx_802.15.4,N/A,90
9.00051,Tx_WiFi,2,90
9.00989,Rx_802.15.4,N/A,90
9.00989,Tx_WiFi,1,90
9.42397,Rx_802.15.4,N/A,90
9.42397,Tx_WiFi,2,90
9.43027,Rx_802.15.4,N/A,90
9.43027,Tx_WiFi,2,90
9.43741,Rx_802.15.4,N/A,90
9.43741,Tx_WiFi,2,90
9.44307,Rx_802.15.4,N/A,90
9.44307,Tx_WiFi,2,90
9.4497,Rx_802.15.4,N/A,90
9.4497,Tx_WiFi,2,90
9.45405,Rx_802.15.4,N/A,90
9.45405,Tx_WiFi,2,90
9.46035,Rx_802.15.4,N/A,90
9.46035,Tx_WiFi,2,90
9.46973,Rx_802.15.4,N/A,90
9.46973,Tx_WiFi,2,90
9.47443,Rx_802.15.4,N/A,90
9.47443,Tx_WiFi,2,90
9.91581,Rx_802.15.4,N/A,90
9.91581,Tx_WiFi,2,90
9.92019,Rx_802.15.4,N/A,90
9.92019,Tx_WiFi,2,90
9.93245,Rx_802.15.4,N/A,90
9.93245,Tx_WiFi,2,90
9.93747,Rx_802.15.4,N/A,90
9.93747,Tx_WiFi,2,90
9.94118,Rx_802.15.4,N/A,49
9.94118,Tx_WiFi,2,49
9.94557,Rx_802.15.4,N/A,90
9.94557,Tx_WiFi,2,90
9.94832,Rx_802.15.4,N/A,39
9.94832,Tx_WiFi,2,39
9.96157,Rx_802.15.4,N/A,90
9.96157,Tx_WiFi,2,90
9.96691,Rx_802.15.4,N/A,90
9.96691,Tx_WiFi,2,90
9.97757,Rx_802.15.4,N/A,90
9.97757,Tx_WiFi,1,90
10.3439,Rx_802.15.4,N/A,10
10.3787,Rx_802.15.4,N/A,10
10.406,Rx_802.15.4,N/A,90
10.406,Tx_WiFi,2,90
10.4117,Rx_802.15.4,N/A,90
10.4117,Tx_WiFi,2,90
10.4211,Rx_802.15.4,N/A,90
10.4211,Tx_WiFi,2,90
10.4264,Rx_802.15.4,N/A,90
10.4264,Tx_WiFi,2,90
10.4358,Rx_802.15.4,N/A,90
10.4358,Tx_WiFi,1,90
10.8504,Rx_802.15.4,N/A,10
10.8969,Rx_802.15.4,N/A,90
10.8969,Tx_WiFi,2,90
10.9032,Rx_802.15.4,N/A,90
10.9032,Tx_WiFi,2,90
10.9136,Rx_802.15.4,N/A,90
10.9136,Tx_WiFi,2,90
10.9199,Rx_802.15.4,N/A,90
10.9199,Tx_WiFi,2,90
10.9243,Rx_802.15.4,N/A,90
10.9243,Tx_WiFi,2,90
10.9292,Rx_802.15.4,N/A,90
10.9292,Tx_WiFi,2,90
10.934,Rx_802.15.4,N/A,90
10.934,Tx_WiFi,2,90
10.9433,Rx_802.15.4,N/A,90
10.9433,Tx_WiFi,2,90
10.949,Rx_802.15.4,N/A,90
10.949,Tx_WiFi,2,90
11.3891,Rx_802.15.4,N/A,90
11.3891,Tx_WiFi,2,90
11.3957,Rx_802.15.4,N/A,90
11.3957,Tx_WiFi,2,90
11.4051,Rx_802.15.4,N/A,90
11.4051,Tx_WiFi,2,90
11.4104,Rx_802.15.4,N/A,90
11.4104,Tx_WiFi,2,90
11.4155,Rx_802.15.4,N/A,90
11.4155,Tx_WiFi,2,90
11.4201,Rx_802.15.4,N/A,90
11.4201,Tx_WiFi,2,90
11.4258,Rx_802.15.4,N/A,90
11.4258,Tx_WiFi,2,90
11.4355,Rx_802.15.4,N/A,90
11.4355,Tx_WiFi,2,90
11.4415,Rx_802.15.4,N/A,90
11.4415,Tx_WiFi,2,90
11.4515,Rx_802.15.4,N/A,90
11.4515,Tx_WiFi,1,90
11.4662,Rx_802.15.4,N/A,71
11.4662,Tx_WiFi,3,71
11.8838,Rx_802.15.4,N/A,90
11.8838,Tx_WiFi,0,90
11.8888,Rx_802.15.4,N/A,90
11.8888,Tx_WiFi,0,90
11.8988,Rx_802.15.4,N/A,90
11.8988,Tx_WiFi,2,90
11.9048,Rx_802.15.4,N/A,90
11.9048,Tx_WiFi,2,90
11.91,Rx_802.15.4,N/A,45
11.91,Tx_WiFi,2,45
11.9163,Rx_802.15.4,N/A,90
11.9163,Tx_WiFi,3,90
11.9196,Rx_802.15.4,N/A,38
11.9196,Tx_WiFi,3,38
11.9283,Rx_802.15.4,N/A,90
11.9283,Tx_WiFi,2,90
11.9349,Rx_802.15.4,N/A,90
11.9349,Tx_WiFi,2,90
11.9452,Rx_802.15.4,N/A,90
11.9452,Tx_WiFi,1,90
12.3285,Rx_802.15.4,N/A,10
12.359,Rx_802.15.4,N/A,10
12.3728,Rx_802.15.4,N/A,90
12.3728,Tx_WiFi,2,90
12.3794,Rx_802.15.4,N/A,90
12.3794,Tx_WiFi,2,90
12.3881,Rx_802.15.4,N/A,90
12.3881,Tx_WiFi,2,90
12.3941,Rx_802.15.4,N/A,90
12.3941,Tx_WiFi,2,90
12.8649,Rx_802.15.4,N/A,90
12.8649,Tx_WiFi,2,90
12.8703,Rx_802.15.4,N/A,90
12.8703,Tx_WiFi,2,90
12.8812,Rx_802.15.4,N/A,90
12.8812,Tx_WiFi,2,90
12.886,Rx_802.15.4,N/A,90
12.886,Tx_WiFi,2,90
12.891,Rx_802.15.4,N/A,90
12.891,Tx_WiFi,2,90
12.8956,Rx_802.15.4,N/A,90
12.8956,Tx_WiFi,2,90
12.9023,Rx_802.15.4,N/A,90
